Indice,Anno,Trimestre,Fino a 17 anni,18 - 24 anni,25 - 34 anni,35 - 44 anni,45 - 54 anni,55 - 64 anni,65 anni e più
0,2018,Primo,13,76,291,527,546,298,246
1,2018,Secondo,11,77,277,510,545,328,276
2,2018,Terzo,15,78,296,487,549,310,191
3,2018,Quarto,16,107,266,544,591,338,223
4,2019,Primo,14,108,323,505,548,298,212
5,2019,Secondo,15,92,343,524,505,268,193
6,2019,Terzo,11,93,301,472,527,258,240
7,2019,Quarto,12,90,289,446,503,245,193
8,2020,Primo,13,82,277,435,448,228,223
9,2020,Secondo,32,206,678,3.48,3.29,702,559
10,2020,Terzo,9,60,104,175,153,149,168
11,2020,Quarto,25,108,205,314,306,196,258
